====================
Distinguish key 6
====================
pos	          4	          3	          2	          1
 0	 768 ( 468)	15988 (15688)	 302 (   2)	 319 (  19)
 1	 838 ( 538)	1986 (1686)	 304 (   4)	 331 (  31)
 2	 617 ( 317)	2900 (2600)	 303 (   3)	 403 ( 103)
 3	2813 (2513)	1832 (1532)	 302 (   2)	 353 (  53)
 4	2100 (1800)	1279 ( 979)	 302 (   2)	 362 (  62)
 5	 564 ( 264)	1474 (1174)	 303 (   3)	 340 (  40)
 6	53827 (53527)	 824 ( 524)	 305 (   5)	 310 (  10)
 7	1603 (1303)	2514 (2214)	 301 (   1)	 531 ( 231)
 8	6315 (6015)	 301 (   1)	 353 (  53)	1061 ( 761)
 9	1220 ( 920)	 303 (   3)	 360 (  60)	 993 ( 693)
10	6618 (6318)	 302 (   2)	 349 (  49)	1594 (1294)
11	1422 (1122)	 302 (   2)	 377 (  77)	2334 (2034)
12	2143 (1843)	 301 (   1)	 310 (  10)	1266 ( 966)
13	2943 (2643)	 301 (   1)	 350 (  50)	 928 ( 628)
14	1224 ( 924)	 305 (   5)	 325 (  25)	12797 (12497)
15	10039 (9739)	 355 (  55)	 351 (  51)	100000 (100000)
16	 301 (   1)	 336 (  36)	1560 (1260)	2141 (1841)
17	 303 (   3)	 327 (  27)	1715 (1415)	2081 (1781)
18	 304 (   4)	 351 (  51)	1413 (1113)	3931 (3631)
19	 304 (   4)	 335 (  35)	1094 ( 794)	2162 (1862)
20	 305 (   5)	 343 (  43)	2111 (1811)	3980 (3680)
21	 301 (   1)	 403 ( 103)	 816 ( 516)	1490 (1190)
22	 301 (   1)	 358 (  58)	2618 (2318)	2615 (2315)
23	 306 (   6)	 336 (  36)	2177 (1877)	3141 (2841)
24	 345 (  45)	1414 (1114)	3511 (3211)	 301 (   1)
25	 315 (  15)	2203 (1903)	1901 (1601)	 304 (   4)
26	 333 (  33)	 762 ( 462)	1786 (1486)	 302 (   2)
27	 363 (  63)	1291 ( 991)	2778 (2478)	 301 (   1)
28	 345 (  45)	1417 (1117)	2184 (1884)	 306 (   6)
29	 417 ( 117)	1795 (1495)	4100 (3800)	 304 (   4)
30	 308 (   8)	3672 (3372)	3904 (3604)	 306 (   6)
31	 334 (  34)	18486 (18186)	5475 (5175)	 302 (   2)
