pos	Keysnumber(texts number)%
  0	         6(         81)
  1	         2(         12)
  2	         2(         39)
  3	         2(         50)
  4	         6(          6)
  5	        18(         63)
  6	         6(         13)
  7	         2(          2)
  8	      2048(         23)
  9	         4(         52)
 10	      1024(          6)
 11	       768(          1)
 12	         1(         16)
 13	         8(          6)
 14	      1024(          7)
 15	        16(          8)
 16	       512(          4)
 17	        14(         11)
 18	       256(          7)
 19	        16(         11)
 20	         2(         20)
 21	         4(          3)
 22	         2(          2)
 23	         5(          7)
 24	         3(          9)
 25	        20(          9)
 26	        56(          1)
 27	      1024(          4)
 28	       256(         28)
 29	      1024(         14)
 30	         4(          4)
 31	         4(          1)
 32	    196608(     100000)
 33	    524288(     100000)
 34	  16777216(     100000)
 35	    131072(     100000)
 36	     65536(     100000)
 37	     65536(     100000)
 38	    131072(     100000)
 39	    131072(     100000)
 40	    131072(        302)
 41	       512(        504)
 42	    131072(        105)
 43	       512(         15)
 44	      1792(        120)
 45	      1536(        298)
 46	       512(        215)
 47	      1280(         50)
 48	     65536(       6115)
 49	      1024(        478)
 50	       256(       1251)
 51	         4(       1474)
 52	      1536(        268)
 53	      1024(        124)
 54	       256(         16)
 55	      1536(         20)
 56	       512(       4378)
 57	      1536(       6814)
 58	      1024(       1669)
 59	      1536(       1583)
 60	      1024(        856)
 61	       512(        205)
 62	       512(         74)
 63	      1536(        118)
time = 4
