====================
Distinguish key 6
====================
pos	          4	          3	          2	          1
 0	1046 ( 746)	10882 (10582)	 304 (   4)	 332 (  32)
 1	3663 (3363)	2332 (2032)	 302 (   2)	 359 (  59)
 2	1179 ( 879)	1079 ( 779)	 303 (   3)	 323 (  23)
 3	2093 (1793)	1420 (1120)	 303 (   3)	 321 (  21)
 4	1005 ( 705)	1371 (1071)	 301 (   1)	 343 (  43)
 5	 726 ( 426)	1985 (1685)	 301 (   1)	 339 (  39)
 6	5961 (5661)	1257 ( 957)	 301 (   1)	 354 (  54)
 7	1391 (1091)	2139 (1839)	 301 (   1)	 313 (  13)
 8	14307 (14007)	 305 (   5)	 359 (  59)	2595 (2295)
 9	3170 (2870)	 301 (   1)	 354 (  54)	1637 (1337)
10	5903 (5603)	 304 (   4)	 316 (  16)	2353 (2053)
11	2540 (2240)	 304 (   4)	 305 (   5)	1765 (1465)
12	2408 (2108)	 301 (   1)	 318 (  18)	1084 ( 784)
13	2651 (2351)	 302 (   2)	 369 (  69)	1935 (1635)
14	 691 ( 391)	 301 (   1)	 331 (  31)	6457 (6157)
15	2414 (2114)	 390 (  90)	 340 (  40)	7466 (7166)
16	 301 (   1)	 316 (  16)	1183 ( 883)	5143 (4843)
17	 303 (   3)	 374 (  74)	1891 (1591)	2195 (1895)
18	 303 (   3)	 322 (  22)	2517 (2217)	3646 (3346)
19	 304 (   4)	 464 ( 164)	1543 (1243)	 822 ( 522)
20	 304 (   4)	 324 (  24)	1764 (1464)	3785 (3485)
21	 303 (   3)	 417 ( 117)	 538 ( 238)	3374 (3074)
22	 309 (   9)	 366 (  66)	35248 (34948)	1620 (1320)
23	 305 (   5)	 356 (  56)	100000 (100000)	100000 (100000)
24	 326 (  26)	1556 (1256)	1967 (1667)	 302 (   2)
25	 370 (  70)	 784 ( 484)	1493 (1193)	 303 (   3)
26	 338 (  38)	2015 (1715)	3430 (3130)	 302 (   2)
27	 331 (  31)	1036 ( 736)	2463 (2163)	 304 (   4)
28	 314 (  14)	1045 ( 745)	1762 (1462)	 302 (   2)
29	 307 (   7)	4404 (4104)	2867 (2567)	 303 (   3)
30	 385 (  85)	1057 ( 757)	2900 (2600)	 307 (   7)
31	 371 (  71)	84414 (84114)	3539 (3239)	 304 (   4)
====================
Distinguish key 7
====================
pos	          4	          3	          2	          1
 0	 302 (   2)	 355 (  55)	2409 (2109)	 301 (   1)
 1	 302 (   2)	 317 (  17)	2395 (2095)	 301 (   1)
 2	 301 (   1)	 324 (  24)	 701 ( 401)	 303 (   3)
 3	 302 (   2)	 365 (  65)	1900 (1600)	 304 (   4)
 4	 301 (   1)	 355 (  55)	1620 (1320)	 303 (   3)
 5	 301 (   1)	 326 (  26)	1639 (1339)	 303 (   3)
 6	 301 (   1)	 401 ( 101)	1566 (1266)	 301 (   1)
 7	 301 (   1)	 309 (   9)	1815 (1515)	 304 (   4)
 8	 346 (  46)	1628 (1328)	 307 (   7)	 301 (   1)
 9	 356 (  56)	1217 ( 917)	 304 (   4)	 301 (   1)
10	 318 (  18)	3200 (2900)	 303 (   3)	 302 (   2)
11	 335 (  35)	 847 ( 547)	 301 (   1)	 301 (   1)
12	 360 (  60)	2235 (1935)	 302 (   2)	 301 (   1)
13	 322 (  22)	 936 ( 636)	 303 (   3)	 302 (   2)
14	 382 (  82)	7016 (6716)	 306 (   6)	 301 (   1)
15	 324 (  24)	11821 (11521)	 327 (  27)	 302 (   2)
16	1657 (1357)	 304 (   4)	 301 (   1)	 348 (  48)
17	2856 (2556)	 303 (   3)	 301 (   1)	 362 (  62)
18	1400 (1100)	 304 (   4)	 301 (   1)	 346 (  46)
19	2427 (2127)	 302 (   2)	 301 (   1)	 353 (  53)
20	1330 (1030)	 304 (   4)	 301 (   1)	 331 (  31)
21	 891 ( 591)	 306 (   6)	 301 (   1)	 364 (  64)
22	48149 (47849)	 304 (   4)	 301 (   1)	 351 (  51)
23	100000 (100000)	100000 (100000)	 303 (   3)	 371 (  71)
24	 301 (   1)	 301 (   1)	 315 (  15)	2626 (2326)
25	 306 (   6)	 301 (   1)	 376 (  76)	 857 ( 557)
26	 301 (   1)	 302 (   2)	 352 (  52)	1573 (1273)
27	 302 (   2)	 302 (   2)	 370 (  70)	 699 ( 399)
28	 303 (   3)	 301 (   1)	 316 (  16)	1197 ( 897)
29	 304 (   4)	 301 (   1)	 307 (   7)	1383 (1083)
30	 305 (   5)	 303 (   3)	 320 (  20)	 964 ( 664)
31	 303 (   3)	 302 (   2)	 415 ( 115)	21474 (21174)
