====================
Distinguish key 6 7
====================
pos	          4	          3	          2	          1
 0	1218 ( 918)	2486 (2186)	 304 (   4)	 380 (  80)
 0	 302 (   2)	 374 (  74)	1307 (1007)	 303 (   3)
 1	1914 (1614)	1952 (1652)	 304 (   4)	 342 (  42)
 1	 301 (   1)	 346 (  46)	1901 (1601)	 303 (   3)
 2	 707 ( 407)	3345 (3045)	 304 (   4)	 371 (  71)
 2	 301 (   1)	 371 (  71)	 799 ( 499)	 302 (   2)
 3	 585 ( 285)	 984 ( 684)	 301 (   1)	 412 ( 112)
 3	 302 (   2)	 406 ( 106)	 585 ( 285)	 303 (   3)
 4	1753 (1453)	1454 (1154)	 303 (   3)	 331 (  31)
 4	 301 (   1)	 342 (  42)	2279 (1979)	 303 (   3)
 5	2945 (2645)	1571 (1271)	 304 (   4)	 314 (  14)
 5	 301 (   1)	 303 (   3)	2360 (2060)	 304 (   4)
 6	32139 (31839)	 971 ( 671)	 304 (   4)	 335 (  35)
 6	 301 (   1)	 352 (  52)	24280 (23980)	 302 (   2)
 7	2408 (2108)	2400 (2100)	 303 (   3)	 450 ( 150)
 7	 302 (   2)	 349 (  49)	2925 (2625)	 304 (   4)
 8	14296 (13996)	 301 (   1)	 308 (   8)	1580 (1280)
 8	 325 (  25)	1338 (1038)	 301 (   1)	 301 (   1)
 9	3245 (2945)	 302 (   2)	 355 (  55)	1070 ( 770)
 9	 340 (  40)	1021 ( 721)	 303 (   3)	 301 (   1)
10	3747 (3447)	 303 (   3)	 371 (  71)	1791 (1491)
10	 355 (  55)	1550 (1250)	 302 (   2)	 301 (   1)
11	2018 (1718)	 301 (   1)	 421 ( 121)	2020 (1720)
11	 421 ( 121)	2459 (2159)	 303 (   3)	 301 (   1)
12	3376 (3076)	 301 (   1)	 314 (  14)	1852 (1552)
12	 308 (   8)	1456 (1156)	 301 (   1)	 301 (   1)
13	1791 (1491)	 307 (   7)	 349 (  49)	1223 ( 923)
13	 312 (  12)	1064 ( 764)	 302 (   2)	 302 (   2)
14	1358 (1058)	 309 (   9)	 367 (  67)	3214 (2914)
14	 358 (  58)	3105 (2805)	 312 (  12)	 301 (   1)
15	4538 (4238)	 302 (   2)	 333 (  33)	42753 (42453)
15	 353 (  53)	10975 (10675)	 303 (   3)	 301 (   1)
16	 302 (   2)	 327 (  27)	1560 (1260)	10564 (10264)
16	1065 ( 765)	 303 (   3)	 301 (   1)	 327 (  27)
17	 301 (   1)	 347 (  47)	1251 ( 951)	2015 (1715)
17	 920 ( 620)	 304 (   4)	 302 (   2)	 352 (  52)
18	 301 (   1)	 385 (  85)	 638 ( 338)	6965 (6665)
18	1400 (1100)	 303 (   3)	 301 (   1)	 385 (  85)
19	 304 (   4)	 306 (   6)	1124 ( 824)	2595 (2295)
19	1457 (1157)	 304 (   4)	 301 (   1)	 306 (   6)
20	 303 (   3)	 313 (  13)	2422 (2122)	1422 (1122)
20	2449 (2149)	 303 (   3)	 301 (   1)	 321 (  21)
21	 303 (   3)	 341 (  41)	1752 (1452)	2117 (1817)
21	1050 ( 750)	 301 (   1)	 301 (   1)	 327 (  27)
22	 303 (   3)	 366 (  66)	1999 (1699)	2917 (2617)
22	2903 (2603)	 303 (   3)	 302 (   2)	 368 (  68)
23	 316 (  16)	 343 (  43)	3773 (3473)	5409 (5109)
23	8973 (8673)	 314 (  14)	 303 (   3)	 339 (  39)
24	 323 (  23)	1198 ( 898)	2012 (1712)	 301 (   1)
24	 303 (   3)	 302 (   2)	 323 (  23)	1920 (1620)
25	 430 ( 130)	1704 (1404)	2257 (1957)	 301 (   1)
25	 303 (   3)	 301 (   1)	 429 ( 129)	1874 (1574)
26	 349 (  49)	 964 ( 664)	2421 (2121)	 303 (   3)
26	 303 (   3)	 302 (   2)	 338 (  38)	 901 ( 601)
27	 367 (  67)	2293 (1993)	1968 (1668)	 303 (   3)
27	 303 (   3)	 302 (   2)	 369 (  69)	2454 (2154)
28	 347 (  47)	2793 (2493)	4213 (3913)	 305 (   5)
28	 305 (   5)	 302 (   2)	 346 (  46)	2793 (2493)
29	 567 ( 267)	 971 ( 671)	1966 (1666)	 302 (   2)
29	 303 (   3)	 301 (   1)	 523 ( 223)	 928 ( 628)
30	 375 (  75)	11200 (10900)	1370 (1070)	 305 (   5)
30	 305 (   5)	 303 (   3)	 375 (  75)	29495 (29195)
31	 351 (  51)	100000 (100000)	76241 (75941)	 311 (  11)
31	 311 (  11)	 303 (   3)	 341 (  41)	100000 (100000)
